FullName;Age;PhotoUrl;Nationality;BestPosition;Club
Gerard Piqué Bernabeu;34;https://cdn.sofifa.com/players/152/729/22_60.png;Spain;CB;FC Barcelona
Kieran Trippier;30;https://cdn.sofifa.com/players/186/345/22_60.png;England;RB;Atlético de Madrid
Fernando Reges;33;https://cdn.sofifa.com/players/184/134/22_60.png;Brazil;CDM;Sevilla FC
Jordan Henderson;31;https://cdn.sofifa.com/players/183/711/22_60.png;England;CDM;Liverpool
Georginio Wijnaldum;30;https://cdn.sofifa.com/players/181/291/22_60.png;Netherlands;CM;Paris Saint-Germain
Dries Mertens;34;https://cdn.sofifa.com/players/175/943/22_60.png;Belgium;CF;Napoli
Marcel Sabitzer;27;https://cdn.sofifa.com/players/204/923/22_60.png;Austria;CM;FC Bayern München
Jesús Navas González;35;https://cdn.sofifa.com/players/146/536/22_60.png;Spain;RB;Sevilla FC
Zlatan Ibrahimović;39;https://cdn.sofifa.com/players/041/236/22_60.png;Sweden;ST;AC Milan
Kai Havertz;22;https://cdn.sofifa.com/players/235/790/22_60.png;Germany;CAM;Chelsea
Stefan Savić;30;https://cdn.sofifa.com/players/204/639/22_60.png;Montenegro;CB;Atlético de Madrid
Theo Hernández;23;https://cdn.sofifa.com/players/232/656/22_60.png;France;LB;AC Milan
Youri Tielemans;24;https://cdn.sofifa.com/players/216/393/22_60.png;Belgium;CM;Leicester City
Jack Grealish;25;https://cdn.sofifa.com/players/206/517/22_60.png;England;CAM;Manchester City
Nabil Fekir;27;https://cdn.sofifa.com/players/216/594/22_60.png;France;CAM;Real Betis Balompié
Leroy Sané;25;https://cdn.sofifa.com/players/222/492/22_60.png;Germany;ST;FC Bayern München
Nicolò Barella;24;https://cdn.sofifa.com/players/224/232/22_60.png;Italy;CM;Inter
Marcos Acuña;29;https://cdn.sofifa.com/players/224/334/22_60.png;Argentina;LB;Sevilla FC
Marcelo Brozović;28;https://cdn.sofifa.com/players/216/352/22_60.png;Croatia;CDM;Inter
André Miguel Valente da Silva;25;https://cdn.sofifa.com/players/228/941/22_60.png;Portugal;ST;RB Leipzig
Franck Yannick Kessié;24;https://cdn.sofifa.com/players/230/938/22_60.png;Côte d'Ivoire;CDM;AC Milan
Luke Shaw;25;https://cdn.sofifa.com/players/205/988/22_60.png;England;LB;Manchester United
Matthias Ginter;27;https://cdn.sofifa.com/players/207/862/22_60.png;Germany;CB;Borussia Mönchengladbach
Felipe Augusto de Almeida Monteiro;32;https://cdn.sofifa.com/players/207/863/22_60.png;Brazil;CB;Atlético de Madrid
Yannick Carrasco;27;https://cdn.sofifa.com/players/208/418/22_60.png;Belgium;LM;Atlético de Madrid
Filip Kostić;28;https://cdn.sofifa.com/players/208/574/22_60.png;Serbia;LM;Eintracht Frankfurt
Hakim Ziyech;28;https://cdn.sofifa.com/players/208/670/22_60.png;Morocco;RW;Chelsea
